"jp_daily_newsletter_mary_ann_parsons_1_1850" "jp_morning_chronicle_anne_bird_1850" "jp_morning_chronicle_dr_ellis_1846" "jp_morning_chronicle_mary_ann_parsons_2_1850" "jp_morning_chronicle_sarah_brown_1846" "jp_morning_chronicle_susan_moir_1850" "jp_morning_chronicle_wife_murder_1851" "jp_sunday_times_questionable_charity_1850" "vl_daily_newsletter_corporal_punishment_1849" "vl_morning_chronicle_captain_johnstone_1846" "vl_morning_chronicle_law_of_assault_1850" "vl_morning_chronicle_matthewson_1846" "vl_morning_chronicle_north_family_1846" "vl_morning_chronicle_william_burn_1846" "vl_remarks_on_mr_fitzroys_bill_1853" "vl_sunday_times_punishment_of_children_1850"
"may" 0 0.169204737732657 0.175746924428823 0.0647249190938511 0.148588410104012 0 0.159489633173844 0.252525252525253 0 0 0.471698113207547 0.224382946896036 0.24330900243309 0.318471337579618 0.0842815002107038 0
"made" 0.200601805416249 0.0564015792442188 0.0878734622144113 0.129449838187702 0 0 0 0.378787878787879 0 0.350877192982456 0.235849056603774 0.224382946896036 0.24330900243309 0.159235668789809 0.252844500632111 0.114285714285714
"can" 0 0.112803158488438 0.0878734622144113 0.388349514563107 0.297176820208024 0 0.239234449760766 0.126262626262626 0.2615518744551 0 0 0.074794315632012 0.304136253041363 0 0.210703750526759 0
"very" 0.100300902708124 0.50761421319797 0.263620386643234 0.0647249190938511 0.148588410104012 0.13550135501355 0.0797448165869219 0.252525252525253 0.3487358326068 0 0.0589622641509434 0.074794315632012 0.0608272506082725 0.238853503184713 0.0421407501053519 0
"court" 0 0.0564015792442188 0 0 0.148588410104012 0 0.0797448165869219 0 0.0871839581517001 0.233918128654971 0.117924528301887 0.224382946896036 0.912408759124088 0.0796178343949045 0.0421407501053519 0.114285714285714
"must" 0 0.112803158488438 0.263620386643234 0.194174757281553 0.0742942050520059 0 0.0797448165869219 0.505050505050505 0.1743679163034 0.116959064327485 0 0.224382946896036 0.24330900243309 0.159235668789809 0.168563000421408 0
"upon" 0 0.0564015792442188 0.175746924428823 0.129449838187702 0.297176820208024 0.13550135501355 0.0797448165869219 0 0 0.233918128654971 0.117924528301887 0.37397157816006 0.0608272506082725 0.238853503184713 0.210703750526759 0
"every" 0 0.338409475465313 0 0.0647249190938511 0.0742942050520059 0 0.398724082934609 0.126262626262626 0.0871839581517001 0.350877192982456 0.117924528301887 0.37397157816006 0.0608272506082725 0 0.0421407501053519 0.114285714285714
"said" 0.300902708124373 0.0564015792442188 0.351493848857645 0.129449838187702 0.0742942050520059 0.5420054200542 0.398724082934609 0.126262626262626 0.0871839581517001 0 0 0.074794315632012 0.0608272506082725 0.159235668789809 0 0.228571428571429
"after" 0.501504513540622 0.169204737732657 0.175746924428823 0.129449838187702 0 0.2710027100271 0.0797448165869219 0.126262626262626 0.1743679163034 0.116959064327485 0 0.074794315632012 0.121654501216545 0 0.0421407501053519 0.457142857142857
"before" 0.401203610832498 0.0564015792442188 0.175746924428823 0 0.148588410104012 0.40650406504065 0.159489633173844 0 0 0.233918128654971 0.17688679245283 0.149588631264024 0.182481751824818 0.0796178343949045 0.0421407501053519 0
"our" 0.300902708124373 0.0564015792442188 0.0878734622144113 0.258899676375405 0 0.2710027100271 0.0797448165869219 0 0.2615518744551 0.467836257309941 0.117924528301887 0.299177262528048 0 0 0.0421407501053519 0
"own" 0 0.0564015792442188 0.175746924428823 0.0647249190938511 0.0742942050520059 0 0.159489633173844 0 0.0871839581517001 0.116959064327485 0.117924528301887 0.149588631264024 0.121654501216545 0.0796178343949045 0.210703750526759 0.571428571428571
"could" 0.200601805416249 0.0564015792442188 0.0878734622144113 0.0647249190938511 0.148588410104012 0.13550135501355 0.239234449760766 0 0.0871839581517001 0.233918128654971 0.0589622641509434 0 0.24330900243309 0.0796178343949045 0.168563000421408 0.114285714285714
